Doy,Rain,dt,Temp,Radiation,Relative Humidity,Wind,lat,long,elev,height,irr
211.69,0.064,0.01,28.08888889,127.7373333,80.35555556,3.333333333,14.24,102.69,295,2.5,0
211.7,0.064,0.01,27.84444444,102.3897778,80.25555556,4.944444444,14.24,102.69,295,2.5,0
211.71,0,0.01,27.81111111,64.66633333,81.06666667,2.133333333,14.24,102.69,295,2.5,0
211.72,0,0.01,27.65555556,51.34977778,82.2,1.511111111,14.24,102.69,295,2.5,0
211.73,0,0.01,27.51111111,41.96133333,82.44444444,1.655555556,14.24,102.69,295,2.5,0
211.74,0.096,0.01,27.25,33.05716667,82.3,1.516666667,14.24,102.69,295,2.5,0
211.75,0.064,0.01,27.02222222,23.76033333,83.55555556,2.011111111,14.24,102.69,295,2.5,0
211.76,0.064,0.01,26.78888889,15.37988889,84.22222222,1.3,14.24,102.69,295,2.5,0
211.77,0.064,0.01,26.56666667,7.130222222,84.9,1.655555556,14.24,102.69,295,2.5,0
211.78,0.064,0.01,26.46666667,2.940111111,85.28888889,1.977777778,14.24,102.69,295,2.5,0
211.79,0.064,0.01,26.41111111,3.463777778,85.36666667,2.077777778,14.24,102.69,295,2.5,0
211.8,0.064,0.01,26.36666667,3.594888889,85.41111111,2.411111111,14.24,102.69,295,2.5,0
211.81,0.064,0.01,26.38888889,3.071,85.48888889,2.044444444,14.24,102.69,295,2.5,0
211.82,0,0.01,26.43333333,3.464,85.27777778,1.155555556,14.24,102.69,295,2.5,0
211.83,0.096,0.01,26.35,3.202,85.41666667,1.233333333,14.24,102.69,295,2.5,0
211.84,0,0.01,26.38888889,2.940111111,85.47777778,2.688888889,14.24,102.69,295,2.5,0
211.85,0.064,0.01,26.36666667,3.202,85.4,2.422222222,14.24,102.69,295,2.5,0
211.86,0,0.01,26.34444444,2.940111111,85.06666667,2.233333333,14.24,102.69,295,2.5,0
211.87,0,0.01,26.38888889,3.463777778,84.94444444,1.433333333,14.24,102.69,295,2.5,0
211.88,0,0.01,26.31111111,3.071111111,85.27777778,1.611111111,14.24,102.69,295,2.5,0
211.89,0,0.01,26.32222222,3.594777778,85.26666667,1.755555556,14.24,102.69,295,2.5,0
211.9,0,0.01,26.26666667,2.547222222,85.55555556,0.644444444,14.24,102.69,295,2.5,0
211.91,0,0.01,26.13333333,3.791166667,86.08333333,1.716666667,14.24,102.69,295,2.5,0
